12376;RIO DO SUL;04/05/2020;493
12377;SAO FRANCISCO;04/05/2020;493
12378;MAFRA;04/05/2020;493
12379;GASPAR;04/05/2020;493
12380;MEIO OESTE;04/05/2020;493
12385;LAGES;04/05/2020;493
12387;REUNIDAS;04/05/2020;5219
12388;BAUER CARGAS;04/05/2020;121066
12389;BALNEARIO CAMBORIU;04/05/2020;5834
12390;ITAJAI;04/05/2020;5834
12391;PALHOCA;04/05/2020;493
12392;TUBARAO;04/05/2020;493
12393;F.P. CENTRO;04/05/2020;493
12394;F.P. CENTRO;04/05/2020;493
12395;BLUMENAU;04/05/2020;493
12396;REUNIDAS;05/05/2020;5219
12397;BAUER CARGAS;05/05/2020;121067
12398;ARARANGUA;05/05/2020;493
12399;BALNEARIO CAMBORIU;05/05/2020;5834
12400;SAO JOSE;05/05/2020;493
12401;F.P. CENTRO;05/05/2020;493
12402;JOINVILLE;05/05/2020;493
12403;BLUMENAU;05/05/2020;493
12404;REUNIDAS;06/05/2020;5219
12405;BAUER CARGAS;06/05/2020;121067
12406;JARAGUA DO SUL;06/05/2020;5834
12407;SAO JOSE;06/05/2020;493
12408;F.P. NORTE;06/05/2020;493
12409;LAGES;06/05/2020;493
12410;PORTO BELO;06/05/2020;493
12411;BLUMENAU;06/05/2020;493
12412;REUNIDAS;07/05/2020;5219
12413;BAUER CARGAS;07/05/2020;121067
12414;BALNEARIO CAMBORIU;07/05/2020;5834
12415;ITAJAI;07/05/2020;5834
12416;F.P. CENTRO;07/05/2020;493
12417;F.P. SUL;07/05/2020;493
12418;RIO DO SUL;07/05/2020;493
12419;SAO FRANCISCO;07/05/2020;493
12420;JOINVILLE;07/05/2020;493
12421;REUNIDAS;08/05/2020;5219
12422;BAUER CARGAS;08/05/2020;121067
12423;MAFRA;08/05/2020;493
12424;BRUSQUE;08/05/2020;493
12425;BLUMENAU;08/05/2020;493
12426;MEIO OESTE;08/05/2020;493
12427;REUNIDAS;11/05/2020;5219
12428;BAUER CARGAS;11/05/2020;121066
