14438;REUNIDAS;24/05/2021;5219
14439;EXPRESSO;24/05/2021;6702
14440;BALNEÁRIO CAMBORIU;24/05/2021;5834
14441;ITAJAI;24/05/2021;5834
14442;TIJUCAS PALHOÇA;24/05/2021;493
14443;TUBARÃO;24/05/2021;493
14444;FPOLIS CENTRO;24/05/2021;493
14445;SÃO JOSÉ;24/05/2021;493
14446;BLUMENAU;24/05/2021;493
14447;REUNIDAS;25/05/2021;5219
14448;EXPRESSO;25/05/2021;6702
14449;BALNEÁRIO CAMBORIU;25/05/2021;493
14450;ARARANGUÁ;25/05/2021;493
14451;SÃO JOSÉ;25/05/2021;493
14452;FPOLIS CENTRO;25/05/2021;493
14453;JOINVILLE;25/05/2021;493
14454;BLUMENAU;25/05/2021;493
14455;REUNIDAS;26/05/2021;5219
14456;EXPRESSO;26/05/2021;6702
14457;JARAGUÁ DO SUL;26/05/2021;5834
14458;SÃO JOSÉ;26/05/2021;493
14459;FPOLIS NORTE;26/05/2021;493
14460;PORTO BELO;26/05/2021;493
14461;BLUMENAU;26/05/2021;493
14462;REUNIDAS;27/05/2021;5219
14463;EXPRESSO;27/05/2021;6702
14464;BALNEÁRIO CAMBORIU;27/05/2021;5834
14465;ITAJAI;27/05/2021;5834
14466;FPOLIS CENTRO;27/05/2021;493
14467;FPOLIS SUL;27/05/2021;493
14468;RIO DO SUL;27/05/2021;493
14469;SÃO FRANCISCO;27/05/2021;493
14470;JOINVILLE;27/05/2021;493
14471;REUNIDAS;28/05/2021;5219
14472;EXPRESSO;28/05/2021;6702
14473;MAFRA;28/05/2021;493
14474;BRUSQUE GASPAR;28/05/2021;493
14475;TIJUCAS*;28/05/2021;493
14476;BLUMENAU;28/05/2021;493
14477;CHAPECÓ;28/05/2021;493
